Coord;Country_CODE;Country;C_CODE;C;GC_CODE;GC;LAU_CODE;LAU;NUTS3;NAME;LAU_MAP_CODE;Project;City;count_city;count_country
Point (9.172879515579762 45.46849377011358229);IT;Italy;IT002C1;Milano;IT002K1;Milano;IT_015146;Milano;ITC4C;Milano;IT_015146;PALIMPSEST;Milan;9;16
Point (-5.96677848789007381 36.68193103421943135);ES;Spain;ES508C1;Jerez de la Frontera;;;ES_11020;Jerez de la Frontera;ES612;Jerez de la frontera;ES_11020;PALIMPSEST;Jerez de la frontera;1;8
Point (19.4802237993257279 51.76651725523014136);PL;Poland;;;;;PL_110166101;?ód?;PL711;?ód?;PL_1005101166101;PALIMPSEST;Lodz;3;6
Point (23.73587469597305954 37.98892368367186378);EL;Greece;EL001C2;Athina;EL001K1;Athina;EL_45010000;Municipal Commune of Athens (psevdo);EL303;Athens;EL_45010000;MESOC;Athens;4;7
Point (2.15109082027927112 41.40107731450914486);ES;Spain;ES002C1;Barcelona;ES002K2;Barcelona;ES_08019;Barcelona;ES511;Barcelona;ES_08019;MESOC;Barcelona;2;8
Point (23.61039038418695313 46.78192976767667233);RO;Romania;RO002C1;Cluj-Napoca;;;RO_54975;Municipiul Cluj-Napoca;RO113;Cluj-Napoca;RO_54975;MESOC;Cluj;1;1
Point (3.72538224356668213 51.07453477983215606);BE;Belgium;BE003C1;Gent;0;0;BE_44021;Gand;BE234;Gent;BE_44021;MESOC;Gent;2;5
Point (2.26471921909198937 48.82334005898803042);FR;France;0;;0;0;FR_92040;Issy-les-Moulineaux;FR105;Issy-les-Moulineaux;FR_92040;MESOC;Issy-les-Moulineaux;2;4
Point (9.172879515579762 45.46849377011358229);IT;Italy;IT002C1;Milano;IT002K1;Milano;IT_015146;Milano;ITC4C;Milano;IT_015146;MESOC;Milano;9;16
Point (14.43018372495964385 45.34452396560099885);HR;Croatia;HR002C1;Rijeka;0;0;HR_03735;Rijeka;HR031;Rijeka;HR_03735;MESOC;Rijeka;1;1
Point (22.29029996624285914 60.49224233142962248);FI;Finland;FI003C1;Turku / Åbo;0;0;FI_853;Åbo;FI1C1;Turku;FI_853;MESOC;Turku;1;4
Point (-0.35975223190665045 39.41983806089648112);ES;Spain;ES003C1;Valencia;ES003K1;Valencia;ES_46250;Valencia;ES523;Valencia;ES_46250;MESOC;Valencia;4;8
Point (21.04792868796877059 52.22956082796060429);PL;Poland;PL001C1;Warszawa;0;0;PL_114286501;Warszawa;PL911;Warsaw;PL_1007141286501;MESOC;Warsaw;2;6
Point (-1.8747590643483647 52.4887117731135362);UK;United Kingdom;UK002C1;Birmingham;UK002K1;West Midlands urban area;UK_E08000025;Birmingham;UKG31;Birmingham;UK_E08000025;easyRights;Birmingham;2;5
Point (22.43106152135619524 39.65270012763677698);EL;Greece;EL005C2;Larisa;;;EL_22010100;Municipal Commune of Larissa (psevdo);EL612;Larissa;EL_22010100;easyRights;Larissa;1;7
Point (-4.42391965904295859 36.7674695418224502);ES;Spain;ES006C1;Málaga;;;ES_29067;Málaga;ES617;Málaga;ES_29067;easyRights;Malaga;1;8
Point (13.33050231243954542 38.13067025578796176);IT;Italy;IT005C1;Palermo;0;0;IT_082053;Palermo;ITG12;Palermo;IT_082053;easyRights;Palermo;1;16
Point (4.37528723708164957 50.87304901779109656);BE;Belgium;BE001C1;Bruxelles / Brussel;0;0;BE_21004;Brussel;BE100;Bruxelles;BE_21004;POLIVISU;Flanders;1;5
Point (13.37269614032537035 49.74023903710551764);CZ;Czech Republic;CZ004C1;Plze?;0;0;CZ_554791;Plze?;CZ032;Pilsen;CZ_554791;POLIVISU;Pilsen;1;1
Point (4.45021213393417003 51.02847126223596774);BE;Belgium;;;;;BE_12025;Malines;BE212;Mechelen;BE_12025;POLIVISU;Mechelen;1;5
Point (2.26471921909198937 48.82334005898803042);FR;France;0;;0;0;FR_92040;Issy-les-Moulineaux;FR105;Issy-les-Moulineaux;FR_92040;POLIVISU;Issy-les-Moulineaux;2;4
Point (3.72538224356668213 51.07453477983215606);BE;Belgium;BE003C1;Gent;0;0;BE_44021;Gand;BE234;Gent;BE_44021;POLIVISU;Ghent;2;5
Point (3.26473590497858313 50.79977964712649907);BE;Belgium;BE010C1;Kortrijk;;;BE_34022;Courtrai;BE254;Kortrijk;BE_34022;POLIVISU;Kortrijk;1;5
Point (23.73587469597305954 37.98892368367186378);EL;Greece;EL001C2;Athina;EL001K1;Athina;EL_45010000;Municipal Commune of Athens (psevdo);EL303;Athens;EL_45010000;DESIGNSCAPES;Athens;4;7
Point (12.55355652404689693 55.67544290747933644);DK;Denmark;DK001C1;København;0;0;DK_101;København;DK011;Copenhagen;DK_101;DESIGNSCAPES;Copenhagen;2;4
Point (11.24476204056909978 43.77986446676410281);IT;Italy;IT007C1;Firenze;0;0;IT_048017;Firenze;ITI14;Florence;IT_048017;DESIGNSCAPES;Florence;1;16
Point (7.81827765757382576 47.99273102617240028);DE;Germany;DE027C1;Freiburg im Breisgau;;;DE_08311000;Freiburg im Breisgau, Stadt;DE131;Freiburg;DE_08311000;DESIGNSCAPES;Freiburg;1;4
Point (25.28725898101154357 42.86885822265900003);BG;Bulgaria;0;;0;0;BG_GAB05;Gabrovo;BG322;Gabrovo;BG_GAB05;DESIGNSCAPES;Gabrovo;1;3
Point (-8.29296420167483639 41.44418962435684506);PT;Portugal;PT505C1;Guimarães;0;0;PT_030884;UNIÃO DAS FREGUESIAS DE OLIVEIRA, SÃO PAIO E SÃO SEBASTIÃO;PT119;Guimaraes;PT_030884;DESIGNSCAPES;Guimaraes;1;9
Point (-9.13534469054989451 38.71205323597419579);PT;Portugal;PT001C1;Lisboa;PT001K1;Lisboa;PT_110665;SANTA MARIA MAIOR;PT170;Lisbon;PT_110665;DESIGNSCAPES;Lisbon;3;9
